"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 03:23:23 UTC 2024","Mon Feb 12 03:23:25 UTC 2024","1732","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Feb 12 03:57:07 UTC 2024","Mon Feb 12 03:57:45 UTC 2024","38632","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Feb 12 02:40:30 UTC 2024","Mon Feb 12 02:40:33 UTC 2024","3468","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Feb 12 03:29:21 UTC 2024","Mon Feb 12 03:29:34 UTC 2024","12400","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Feb 12 02:57:00 UTC 2024","Mon Feb 12 02:57:26 UTC 2024","25370","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Feb 12 03:29:18 UTC 2024","Mon Feb 12 03:29:21 UTC 2024","2665","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Feb 12 02:33:11 UTC 2024","Mon Feb 12 02:33:17 UTC 2024","6177","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Feb 12 03:42:29 UTC 2024","Mon Feb 12 03:42:31 UTC 2024","2388","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Feb 12 02:37:15 UTC 2024","Mon Feb 12 02:37:22 UTC 2024","6695","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Feb 12 02:29:06 UTC 2024","Mon Feb 12 02:29:13 UTC 2024","7260","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"skipped","Mon Feb 12 02:21:40 UTC 2024","Mon Feb 12 02:21:40 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Feb 12 02:43:03 UTC 2024","Mon Feb 12 02:43:06 UTC 2024","2830","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Feb 12 02:43:43 UTC 2024","Mon Feb 12 02:43:43 UTC 2024","369","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Feb 12 03:40:12 UTC 2024","Mon Feb 12 03:40:22 UTC 2024","9580","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Feb 12 03:33:38 UTC 2024","Mon Feb 12 03:37:47 UTC 2024","248975","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Feb 12 02:43:20 UTC 2024","Mon Feb 12 02:43:40 UTC 2024","20142","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Feb 12 03:42:20 UTC 2024","Mon Feb 12 03:42:20 UTC 2024","309","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Feb 12 03:26:43 UTC 2024","Mon Feb 12 03:27:26 UTC 2024","42883","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Feb 12 02:22:28 UTC 2024","Mon Feb 12 02:22:38 UTC 2024","9971","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Mon Feb 12 02:38:33 UTC 2024","Mon Feb 12 02:39:27 UTC 2024","54390","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Feb 12 02:42:39 UTC 2024","Mon Feb 12 02:42:48 UTC 2024","8920","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Feb 12 03:55:13 UTC 2024","Mon Feb 12 03:55:17 UTC 2024","3504","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Feb 12 03:23:12 UTC 2024","Mon Feb 12 03:23:23 UTC 2024","11739","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
